Date,PX_Last,30MA,Bank,S/S_A,S_U,S_L,s,Leakage Ratio,kappa,kappa_SE,kappa_lb,kappa_ub,kappa_z,theta,theta_SE,theta_lb,theta_ub,theta_z,sigma,sigma_SE,sigma_lb,sigma_ub,sigma_z
16/4/2010,3.217,3.270666667,0.25,0.9835915209999999,9.812000000000001,0,0.39729434,0.001156076,0.06588721,0.013630068,0.039172277,0.092602144,4.833960506,0.40256218200000005,0.0038965479999999997,0.394924948,0.41019941600000004,103.3125182,0.011074913,0.000295523,0.010495688999999999,0.011654137,37.47569869
19/4/2010,3.2119999999999997,3.267466667,0.25,0.983024565,9.8024,0,0.397013209,0.001148845,0.066295275,0.013640133999999998,0.039560611,0.093029938,4.86030946,0.40244006200000004,0.0038713309999999996,0.394852253,0.410027871,103.9539214,0.011072678,0.000295474,0.010493549,0.011651807,37.47428759
20/4/2010,3.239,3.2665,0.25,0.991581203,9.7995,0,0.401264544,0.001152101,0.066081967,0.013652808,0.039322464,0.09284147,4.840174204,0.402587094,0.0038843059999999997,0.394973855,0.410200334,103.6445434,0.011072526999999999,0.000295489,0.010493368999999999,0.011651685,37.47191351
21/4/2010,3.22,3.2639,0.25,0.986549833,9.7917,0,0.39876253700000003,0.0011376510000000002,0.066833898,0.013654534,0.040071011000000004,0.093596785,4.894630366,0.402327969,0.003835909,0.394809587,0.409846351,104.88464099999999,0.011061728,0.000295198,0.01048314,0.011640315,37.47224775
22/4/2010,3.2030000000000003,3.260333333,0.25,0.9824148859999999,9.781,0,0.396710981,0.00113192,0.067200278,0.013677558000000001,0.040392264,0.094008292,4.913178047,0.40220833200000006,0.0038148759999999996,0.394731175,0.40968548899999996,105.43156570000001,0.011062388999999999,0.000295244,0.010483711,0.011641067,37.46863666
23/4/2010,3.23,3.2576333330000002,0.25,0.991517359,9.7729,0,0.40123275700000005,0.001131984,0.067215307,0.013703176000000001,0.040357082,0.094073531,4.905089756000001,0.402308235,0.0038151609999999996,0.394830519,0.40978595100000004,105.4498628,0.011065313,0.000295357,0.010486411999999999,0.011644213,37.46413464
26/4/2010,3.216,3.2549,0.25,0.988048788,9.7647,0,0.399507285,0.001122972,0.067766979,0.013724807,0.040866357,0.09466760099999999,4.937554225,0.402166828,0.00378335,0.39475146200000005,0.409582194,106.2991365,0.01106437,0.000295358,0.010485468000000001,0.011643271,37.46089278
27/4/2010,3.0989999999999998,3.2488333330000003,0.25,0.95388088,9.7465,0,0.38266740200000005,0.001128097,0.068097419,0.013808381000000002,0.041032992000000004,0.095161846,4.931600415,0.401738705,0.003780511,0.39432890299999995,0.40914850700000005,106.26571070000001,0.011110675,0.000296706,0.010529131,0.01169222,37.44672005
28/4/2010,3.157,3.2454333330000003,0.25,0.9727514559999999,9.7363,0,0.391932812,0.001119042,0.068800875,0.013849365,0.04165612,0.09594563,4.967800079,0.401896993,0.003746283,0.394554278,0.409239708,107.2788615,0.011125194,0.000297146,0.010542788,0.011707598999999999,37.44019076
29/4/2010,3.1860000000000004,3.242633333,0.25,0.982534771,9.7279,0,0.396770402,0.001113067,0.069218113,0.013880618,0.042012102,0.096424124,4.9866738139999995,0.401943437,0.0037250609999999996,0.394642317,0.40924455600000004,107.90250870000001,0.01112969,0.000297306,0.01054697,0.011712408999999998,37.43514894
30/4/2010,3.138,3.2388,0.25,0.9688773620000001,9.7164,0,0.390023625,0.001114948,0.069227728,0.013915128,0.041954077,0.09650137800000001,4.974997534,0.401778233,0.003726857,0.39447359200000004,0.40908287299999996,107.8061707,0.011137571,0.000297564,0.010554346000000001,0.011720797,37.42914326
3/5/2010,3.1860000000000004,3.237866667,0.25,0.983981222,9.7136,0,0.397487624,0.00111883,0.068980693,0.013937278999999999,0.041663625,0.09629776,4.949365684,0.4020063,0.003741307,0.394673338,0.40933926200000004,107.4507592,0.011140178999999998,0.000297667,0.010556751999999999,0.011723606000000001,37.42499873
4/5/2010,3.0669999999999997,3.2334,0.25,0.9485371440000001,9.7002,0,0.38005916100000003,0.0011306139999999998,0.068945249,0.014013978,0.041477852,0.09641264599999999,4.919748555,0.401594125,0.003759342,0.394225815,0.40896243600000004,106.8256412,0.011190077,0.000299107,0.010603827,0.011776328,37.41157431
5/5/2010,2.9610000000000003,3.2246666669999997,0.25,0.918234443,9.674,0,0.365395929,0.001161997,0.067579874,0.014053281,0.040035443,0.095124304,4.808832457,0.40123015100000003,0.003848055,0.393687962,0.40877234,104.2682869,0.011226336000000002,0.000300142,0.010638058,0.011814613,37.40344921
6/5/2010,2.904,3.2121,0.25,0.9040814420000001,9.6363,0,0.358620379,0.001186854,0.066285808,0.014031233,0.038784591,0.093787025,4.724161207,0.40099359799999995,0.003925875,0.39329888399999996,0.40868831299999997,102.141211,0.011233308999999999,0.00030030599999999997,0.010644708999999999,0.011821908,37.40622009
7/5/2010,2.909,3.1991,0.25,0.9093182459999999,9.5973,0,0.36112207799999996,0.001192448,0.06591553900000001,0.013986585,0.038501832,0.09332924599999999,4.712768564,0.401060789,0.003945248,0.393328104,0.408793474,101.6566849,0.011229198000000001,0.000300135,0.010640933,0.011817463,37.41380502
